2024-07-27 16:37:42 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597575?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:42 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597576?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:43 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597574?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:43 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597573?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:43 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597584?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:43 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597579?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:44 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597580?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:44 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597581?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:44 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597582?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:44 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597583?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:44 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597578?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:45 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597590?lang=en&region=us HTTP/1.1" 200 None
